id,recipe_name,ingredients,nutritional_information,dietary_tags,meal_type,cuisine_type,instructions
1,Vegetarian Chili,"Black beans, Corn, Bell peppers, Onion, Garlic, Cumin, Chili powder","calories: '320', proteins: '12g', fats: '8g', carbs: '45g'",vegan,lunch,Mexican,"Sauté onions and garlic until fragrant, Add beans, corn, and bell peppers, Season with cumin and chili powder, Simmer for 20 minutes, Serve with rice or tortilla chips"
2,Grilled Chicken Salad,"Chicken breast, Romaine lettuce, Cherry tomatoes, Cucumber, Olive oil, Lemon juice, Salt, Pepper","calories: '450', proteins: '35g', fats: '18g', carbs: '25g'",gluten-free,dinner,American,"Season chicken breast with salt, pepper, and olive oil, Grill for 10-12 minutes per side, Chop the vegetables, Toss the salad with olive oil and lemon juice, Slice the chicken and add it on top"
3,Avocado Toast,"Avocado, Whole grain bread, Olive oil, Sea salt, Lemon juice","calories: '200', proteins: '5g', fats: '15g', carbs: '20g'",vegetarian,breakfast,Mediterranean,"Toast the bread until crispy, Mash the avocado with lemon juice and sea salt, Spread the avocado on toast, Drizzle with olive oil"
4,Kenyan Nyama Choma,"Goat meat, Salt, Pepper, Lemon juice, Olive oil","calories: '500', proteins: '40g', fats: '30g', carbs: '5g'",high-protein,main course,African,"Marinate goat meat with salt, pepper, lemon juice, and olive oil, Grill the meat for 20-25 minutes until well cooked, Serve with ugali or roasted vegetables"
5,Vegan Pancakes,"Gluten-free flour, Almond milk, Baking powder, Maple syrup","calories: '300', proteins: '8g', fats: '10g', carbs: '50g'",vegan,breakfast,American,"Mix the dry ingredients in a bowl, Slowly add almond milk while stirring, Cook on a griddle for 2-3 minutes per side, Serve with maple syrup"
6,Jollof Rice,"Rice, Tomatoes, Bell peppers, Onions, Tomato paste, Spices","calories: '450', proteins: '8g', fats: '15g', carbs: '70g'",gluten-free,lunch,African,"Cook the rice with water until tender, Sauté onions and bell peppers in oil, Add tomato paste and spices, Mix the cooked rice with the tomato mixture, Let it simmer for 10 minutes"
7,Eggplant Parmesan,"Eggplant, Tomato sauce, Mozzarella cheese, Basil, Olive oil","calories: '400', proteins: '20g', fats: '25g', carbs: '35g'",vegetarian,dinner,Italian,"Slice the eggplant and season with salt, Fry the eggplant slices in olive oil, Layer the eggplant with tomato sauce and mozzarella cheese, Bake for 20 minutes at 180°C"
8,Quinoa Bowl,"Quinoa, Chickpeas, Cucumber, Tomatoes, Lemon juice, Olive oil","calories: '350', proteins: '12g', fats: '10g', carbs: '50g'",vegan,lunch,Mediterranean,"Cook quinoa according to package instructions, Let the quinoa cool, Toss the quinoa with chickpeas, cucumber, and tomatoes, Drizzle with olive oil and lemon juice"
9,Chicken Shawarma,"Chicken thighs, Garlic, Yogurt, Shawarma spices, Onion","calories: '600', proteins: '40g', fats: '35g', carbs: '50g'",low-carb,main course,Middle Eastern,"Marinate the chicken thighs in yogurt and shawarma spices, Grill the chicken for 15 minutes, Slice the chicken and serve with grilled vegetables or pita bread"
10,Mushroom Risotto,"Rice, Mushrooms, Parmesan cheese, Garlic, Olive oil","calories: '500', proteins: '15g', fats: '20g', carbs: '65g'",vegetarian,dinner,Italian,"Cook rice in a pot with water, Sauté mushrooms in olive oil and garlic, Add the mushrooms to the rice, Stir in Parmesan cheese and cook for another 5 minutes"
11,Falafel Wrap,"Chickpeas, Cucumber, Tomatoes, Tahini, Pita bread","calories: '400', proteins: '10g', fats: '15g', carbs: '50g'",vegan,snack,Middle Eastern,"Blend chickpeas with garlic and tahini, Shape into falafel balls and fry in oil, Warm the pita bread and fill with falafel, cucumber, and tomatoes"
12,Coconut Curry,"Coconut milk, Curry powder, Chickpeas, Spinach","calories: '320', proteins: '10g', fats: '20g', carbs: '30g'",vegan,dinner,African,"Heat coconut milk with curry powder in a pan, Add chickpeas and spinach, Let it simmer for 15 minutes, Serve with rice"
13,Baked Salmon,"Salmon, Garlic, Lemon, Olive oil, Dill","calories: '450', proteins: '40g', fats: '25g', carbs: '5g'",high-protein,main course,American,"Rub salmon with garlic, lemon, and dill, Bake in the oven for 15-20 minutes at 180°C, Serve with roasted vegetables"
14,South African Bobotie,"Ground beef, Onions, Curry powder, Milk, Eggs","calories: '550', proteins: '30g', fats: '35g', carbs: '40g'",gluten-free,main course,African,"Brown the ground beef with onions and curry powder, Mix the milk and eggs, Layer the beef mixture with the egg custard, Bake for 20-25 minutes"
15,Nigerian Egusi Soup,"Egusi seeds, Spinach, Goat meat, Stockfish","calories: '600', proteins: '45g', fats: '30g', carbs: '20g'",low-carb,main course,African,"Blend the Egusi seeds into a paste, Cook the goat meat and stockfish in water, Add the Egusi paste and spinach, Let it simmer until thickened"
16,Tofu Stir Fry,"Tofu, Bell peppers, Soy sauce, Garlic, Ginger","calories: '300', proteins: '15g', fats: '10g', carbs: '40g'",vegan,dinner,Asian,"Stir fry tofu with soy sauce and ginger, Add bell peppers and cook for another 5 minutes, Serve with rice or noodles"
17,Beef Stew,"Beef, Potatoes, Carrots, Onions, Beef stock","calories: '550', proteins: '35g', fats: '25g', carbs: '60g'",gluten-free,dinner,American,"Brown the beef in a pot, Add onions, potatoes, and carrots, Pour in beef stock and let it simmer for 1 hour, Serve hot"
18,Chapati and Beans,"Chapati, Kidney beans, Onions, Tomatoes, Spices","calories: '600', proteins: '20g', fats: '20g', carbs: '80g'",vegan,lunch,African,"Cook kidney beans with onions and tomatoes, Season with spices, Serve with freshly made chapati"
19,Shakshuka,"Eggs, Tomatoes, Bell peppers, Onions, Garlic, Paprika","calories: '350', proteins: '15g', fats: '20g', carbs: '25g'",vegetarian,breakfast,Mediterranean,"Sauté onions, garlic, and bell peppers, Add tomatoes and paprika, Crack eggs on top and let them cook until set, Serve with bread"
20,Lentil Soup,"Lentils, Carrots, Celery, Onions, Vegetable stock","calories: '400', proteins: '20g', fats: '10g', carbs: '50g'",gluten-free,dinner,Mediterranean,"Cook the lentils in vegetable stock, Sauté onions, carrots, and celery, Add the vegetables to the lentils and let it simmer for 20 minutes"
21,Moroccan Couscous,"Couscous, Chickpeas, Carrots, Zucchini, Raisins, Cinnamon, Olive oil","calories: '420', proteins: '12g', fats: '10g', carbs: '75g'",vegetarian,lunch,African,"Boil water and add couscous, Stir in chickpeas and raisins, Steam carrots and zucchini until soft, Add to couscous and season with cinnamon and olive oil"
22,Roasted Butternut Squash Soup,"Butternut squash, Onions, Garlic, Vegetable stock, Coconut milk","calories: '300', proteins: '5g', fats: '12g', carbs: '45g'",vegan,dinner,American,"Roast butternut squash with olive oil, Sauté onions and garlic, Blend squash with vegetable stock and coconut milk, Heat until smooth and serve hot"
23,Spaghetti Bolognese,"Ground beef, Spaghetti, Tomatoes, Garlic, Onion, Parmesan cheese","calories: '550', proteins: '30g', fats: '25g', carbs: '60g'",gluten-free,dinner,Italian,"Brown the ground beef in a pan, Add tomatoes, garlic, and onions, Simmer the sauce for 20 minutes, Serve over cooked spaghetti and sprinkle with Parmesan cheese"
24,Peanut Stew,"Peanut butter, Sweet potatoes, Spinach, Garlic, Ginger, Tomatoes","calories: '500', proteins: '20g', fats: '30g', carbs: '45g'",vegan,main course,African,"Sauté garlic and ginger, Add sweet potatoes and tomatoes, Stir in peanut butter and let it simmer, Add spinach and cook until tender"
25,Stuffed Bell Peppers,"Bell peppers, Quinoa, Black beans, Corn, Cheese, Salsa","calories: '450', proteins: '20g', fats: '15g', carbs: '60g'",vegetarian,lunch,Mexican,"Cook quinoa and mix with black beans, corn, and cheese, Stuff the bell peppers with the quinoa mixture, Bake at 180°C for 20 minutes, Serve with salsa on top"
26,Chicken Tagine,"Chicken thighs, Onions, Olives, Preserved lemons, Spices","calories: '600', proteins: '35g', fats: '30g', carbs: '40g'",gluten-free,dinner,African,"Brown the chicken thighs in a pan, Sauté onions and spices, Add olives and preserved lemons, Simmer for 40 minutes until tender, Serve with couscous"
27,Mango Salsa,"Mangoes, Red onion, Cilantro, Lime juice, Jalapenos","calories: '100', proteins: '1g', fats: '0g', carbs: '25g'",vegan,snack,Mexican,"Dice the mangoes, red onion, and jalapenos, Mix with cilantro and lime juice, Serve as a topping for tacos or as a dip"
28,Vegetarian Samosas,"Potatoes, Peas, Onions, Cumin, Coriander, Pastry dough","calories: '300', proteins: '5g', fats: '15g', carbs: '40g'",vegetarian,snack,Indian,"Boil and mash the potatoes, Mix with peas, onions, and spices, Fill the pastry dough with the potato mixture, Fry until golden brown"
29,Beef Stroganoff,"Beef strips, Mushrooms, Onions, Sour cream, Egg noodles","calories: '700', proteins: '35g', fats: '40g', carbs: '50g'",high-protein,dinner,Russian,"Brown the beef strips in a pan, Sauté mushrooms and onions, Add sour cream and simmer for 10 minutes, Serve over cooked egg noodles"
