id,recipe_name,ingredients,dietary_tags,meal_type,cuisine_type,instructions,allergens,id
1,Vegetarian Chili,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup",vegan,snack,Indian,"Blend the ingredients for the dressing until smooth. Cook the quinoa according to package instructions and let it cool. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Layer the ingredients in a bowl or plate and drizzle with dressing.",,1
2,Gluten-Free Pancakes,"Banana, Whey protein, Almond milk, Peanut butter","low-carb, keto-friendly",snack,Indian,"Blend the ingredients for the dressing until smooth. Layer the ingredients in a bowl or plate and drizzle with dressing. Cook the quinoa according to package instructions and let it cool. In a skillet, sauté onions and garlic until golden. Serve immediately or store in the refrigerator for later. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",Peanuts,2
3,Chicken Caesar Salad,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons",vegan,lunch,Mexican,"Serve immediately or store in the refrigerator for later. Garnish with herbs, nuts, or seeds for extra flavor. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. In a skillet, sauté onions and garlic until golden. Roast the vegetables in the oven for 20-25 minutes. Cook the quinoa according to package instructions and let it cool.",Peanuts,3
4,Lentil Soup,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder","gluten-free, dairy-free",dinner,Italian,"Blend the ingredients for the dressing until smooth. Roast the vegetables in the oven for 20-25 minutes. Chop all vegetables into small pieces. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",,4
5,Taco Salad,"Lentils, Carrots, Celery, Garlic, Vegetable broth","keto-friendly, high-protein, vegan",breakfast,Italian,"Serve immediately or store in the refrigerator for later. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Roast the vegetables in the oven for 20-25 minutes. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Chop all vegetables into small pieces. Blend the ingredients for the dressing until smooth.",Dairy,5
6,Protein Smoothie,"Whole grain bread, Avocado, Cherry tomatoes, Olive oil","vegan, keto-friendly, vegetarian",snack,Indian,"In a skillet, sauté onions and garlic until golden. Garnish with herbs, nuts, or seeds for extra flavor. Chop all vegetables into small pieces. Roast the vegetables in the oven for 20-25 minutes. Blend the ingredients for the dressing until smooth.",,6
7,Vegan Buddha Bowl,"Banana, Whey protein, Almond milk, Peanut butter","dairy-free, paleo",dinner,Asian,"Serve immediately or store in the refrigerator for later. Chop all vegetables into small pieces. Layer the ingredients in a bowl or plate and drizzle with dressing. Garnish with herbs, nuts, or seeds for extra flavor. Blend the ingredients for the dressing until smooth. Roast the vegetables in the oven for 20-25 minutes.",,7
8,Vegetarian Chili,"Beef strips, Bell peppers, Soy sauce, Garlic, Olive oil","dairy-free, low-carb, paleo",lunch,Indian,"In a skillet, sauté onions and garlic until golden. Roast the vegetables in the oven for 20-25 minutes. Serve immediately or store in the refrigerator for later. Blend the ingredients for the dressing until smooth.",,8
9,Vegan Buddha Bowl,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips","vegan, dairy-free, low-carb",breakfast,Mexican,"Chop all vegetables into small pieces. Layer the ingredients in a bowl or plate and drizzle with dressing. In a skillet, sauté onions and garlic until golden. Garnish with herbs, nuts, or seeds for extra flavor.",Gluten,9
10,Avocado Toast,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup","dairy-free, gluten-free, paleo",lunch,American,"Blend the ingredients for the dressing until smooth. Serve immediately or store in the refrigerator for later. Chop all vegetables into small pieces. Garnish with herbs, nuts, or seeds for extra flavor. In a skillet, sauté onions and garlic until golden. Layer the ingredients in a bowl or plate and drizzle with dressing.",Eggs,10
11,Chicken Caesar Salad,"Shrimp, Fettuccine, Garlic, Butter, Parmesan","keto-friendly, high-protein",lunch,Mexican,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Garnish with herbs, nuts, or seeds for extra flavor. Serve immediately or store in the refrigerator for later. In a skillet, sauté onions and garlic until golden.",,11
12,Beef Stir Fry,"Shrimp, Fettuccine, Garlic, Butter, Parmesan","vegan, paleo",breakfast,Mediterranean,Roast the vegetables in the oven for 20-25 minutes. Blend the ingredients for the dressing until smooth. Serve immediately or store in the refrigerator for later. Layer the ingredients in a bowl or plate and drizzle with dressing.,Gluten,12
13,Lentil Soup,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder","low-carb, dairy-free",breakfast,Mediterranean,"Blend the ingredients for the dressing until smooth. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Layer the ingredients in a bowl or plate and drizzle with dressing. In a skillet, sauté onions and garlic until golden. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Chop all vegetables into small pieces.",Dairy,13
14,Protein Smoothie,"Whole grain bread, Avocado, Cherry tomatoes, Olive oil","keto-friendly, vegetarian",lunch,Mexican,"In a skillet, sauté onions and garlic until golden. Serve immediately or store in the refrigerator for later. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Garnish with herbs, nuts, or seeds for extra flavor. Blend the ingredients for the dressing until smooth.",Gluten,14
15,Taco Salad,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder","vegan, gluten-free",snack,Mexican,"Serve immediately or store in the refrigerator for later. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. In a skillet, sauté onions and garlic until golden. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Blend the ingredients for the dressing until smooth.",,15
16,Protein Smoothie,"Lentils, Carrots, Celery, Garlic, Vegetable broth","low-carb, high-protein, gluten-free",snack,Italian,"In a skillet, sauté onions and garlic until golden. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Garnish with herbs, nuts, or seeds for extra flavor. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Cook the quinoa according to package instructions and let it cool.",Dairy,16
